County,Year,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft
St Lawrence,2015,1671.0,143.0,2.0,53.0,14.0,74.0,1528.0,279.0,1220.0,29.0
Steuben,2015,1585.0,189.0,1.0,79.0,12.0,97.0,1396.0,205.0,1160.0,31.0
Suffolk,2015,24496.0,2010.0,25.0,167.0,732.0,1086.0,22486.0,2591.0,18650.0,1245.0
Sullivan,2015,1331.0,171.0,1.0,64.0,15.0,91.0,1160.0,333.0,806.0,21.0
Tioga,2015,460.0,54.0,1.0,23.0,6.0,24.0,406.0,82.0,305.0,19.0
Tompkins,2015,2296.0,147.0,0.0,55.0,32.0,60.0,2149.0,324.0,1788.0,37.0
Ulster,2015,3011.0,304.0,0.0,96.0,41.0,167.0,2707.0,421.0,2214.0,72.0
Warren,2015,1090.0,108.0,1.0,51.0,11.0,45.0,982.0,121.0,845.0,16.0
Washington,2015,614.0,91.0,1.0,28.0,1.0,61.0,523.0,95.0,414.0,14.0
Wayne,2015,1644.0,203.0,2.0,79.0,24.0,98.0,1441.0,353.0,1040.0,48.0
Westchester,2015,12239.0,2148.0,17.0,171.0,739.0,1221.0,10091.0,1307.0,8102.0,682.0
Wyoming,2015,422.0,58.0,3.0,16.0,0.0,39.0,364.0,60.0,294.0,10.0
Yates,2015,299.0,25.0,0.0,8.0,0.0,17.0,274.0,84.0,188.0,2.0
